model_name,fold,rmse,mae,precision_at_10,recall_at_10,ndcg_at_10,coverage_at_10
popularity_baseline,1,1.1277264608595539,0.9381817658401764,0.2288372093023256,0.047964871856810615,0.2166648812450508,0.026016260162601626
knn_with_means,1,1.1163171388960749,0.9261202303069127,0.09767441860465116,0.021834034653535672,0.11375911063319244,0.05365853658536585
svd,1,1.0487303769442948,0.8261375793145755,0.22000000000000006,0.047950572847430345,0.1970245189412394,0.055284552845528454
popularity_baseline,2,1.0908218525411428,0.9173241380633264,0.24216216216216216,0.04947924872061706,0.23596459582017204,0.026390870185449358
knn_with_means,2,1.0728005626675017,0.8937067654773755,0.11351351351351352,0.020120696893100636,0.12799217965610518,0.06419400855920114
svd,2,1.00242657094051,0.7925681951225789,0.20594594594594595,0.04027811492571316,0.2050303819527148,0.06562054208273894
popularity_baseline,3,1.190037007147412,0.9846000512287384,0.16425702811244983,0.03898844002571538,0.15746411865947949,0.02592087312414734
knn_with_means,3,1.174461596821612,0.9618497463920417,0.07389558232931727,0.016593474808285363,0.0839825678800176,0.06002728512960437
svd,3,1.1201618667078335,0.880450245143739,0.1136546184738956,0.026126655400358773,0.11288888207435059,0.09549795361527967
popularity_baseline,4,1.129376466443077,0.9461203289125205,0.16979591836734698,0.08784424707667317,0.17234269754956263,0.027493606138107418
knn_with_means,4,1.1090187611798412,0.9174934192688864,0.06857142857142857,0.016548312306316443,0.08210757841309381,0.05690537084398977
svd,4,1.0486157789368546,0.8282981006512026,0.13673469387755105,0.060991442489461735,0.13129980453939688,0.09718670076726342
popularity_baseline,5,1.1206601509253638,0.9508056079891666,0.184070796460177,0.06639813740217111,0.18295924650619685,0.028290282902829027
knn_with_means,5,1.1005704456639445,0.9263499364705141,0.06902654867256638,0.013869168227851982,0.07829059166106651,0.05227552275522755
svd,5,1.0223384611545254,0.8165210519858911,0.17699115044247787,0.05277816875726944,0.16100311825615538,0.0971709717097171
